date,equity,cash,positions
2015-01-05,1000000.0,1000000.0,0
2015-01-06,1000000.0,600043.954410553,2
2015-01-07,1011382.7726554871,19.724116325378418,5
2015-01-08,1028358.3168096542,19.724116325378418,5
2015-01-09,1026131.5518083572,19.724116325378418,5
2015-01-12,1043340.4600343704,19.724116325378418,5
2015-01-13,1041997.8381681442,19.724116325378418,5
2015-01-14,1033308.4009389877,53.5067663192749,5
2015-01-15,1027747.8662319183,90.76033687591553,5
2015-01-16,1038810.7018356323,90.76033687591553,5
2015-01-20,1036883.4990282059,90.76033687591553,5
2015-01-21,1038564.6043167114,90.76033687591553,5
2015-01-22,1062423.3170804977,90.76033687591553,5
2015-01-23,1068935.1574811935,90.76033687591553,5
2015-01-26,1067853.6124267578,90.76033687591553,5
2015-01-27,1064073.6296625137,13.174509048461914,5
2015-01-28,1051394.6995592117,207282.74426746368,4
2015-01-29,1052812.6807928085,3.3178606033325195,5
2015-01-30,1031078.3819379807,26.119059562683105,5
2015-02-02,1038091.6977834702,26.119059562683105,5
2015-02-03,1049709.4440469742,26.119059562683105,5
2015-02-04,1045131.32310009,13667.195616722107,5
2015-02-05,1057522.8415765762,13667.195616722107,5
2015-02-06,1058554.6773080826,13667.195616722107,5
2015-02-09,1061848.142859459,13667.195616722107,5
2015-02-10,1078929.9662942886,13667.195616722107,5
2015-02-11,1083531.042916298,13667.195616722107,5
2015-02-12,1099300.5097875595,13667.195616722107,5
2015-02-13,1110296.6248750687,13667.195616722107,5
2015-02-17,1113933.9377279282,13667.195616722107,5
2015-02-18,1120685.8479948044,13667.195616722107,5
2015-02-19,1124369.968445778,13667.195616722107,5
2015-02-20,1131166.9584207535,13667.195616722107,5
2015-02-23,1142444.5206899643,13667.195616722107,5
2015-02-24,1138516.5722970963,13667.195616722107,5
2015-02-25,1133476.4504480362,13667.195616722107,5
2015-02-26,1140267.8939199448,19.96780300140381,5
2015-02-27,1131952.1853170395,19.96780300140381,5
2015-03-02,1124270.281624794,0.31282901763916016,5
2015-03-03,1107035.490959406,60.01827335357666,5
2015-03-04,1100264.5725634098,60.01827335357666,5
2015-03-05,1114694.6499238014,60.01827335357666,5
2015-03-06,1108096.318845272,7.259679317474365,5
2015-03-09,1103604.4117321968,15.265724658966064,5
2015-03-10,1085656.577076435,448710.4127011299,3
2015-03-11,1084708.511850834,660632.3316464424,2
2015-03-12,1095690.5279431343,3314.182644367218,5
2015-03-13,1105599.209467411,3314.182644367218,5
2015-03-16,1112448.2519688606,3314.182644367218,5
2015-03-17,1113302.5699849129,3314.182644367218,5
2015-03-18,1126881.6867604256,3314.182644367218,5
2015-03-19,1119668.8147206306,18.910057544708252,5
2015-03-20,1123820.7930169106,18.910057544708252,5
2015-03-23,1113210.4838414192,18.910057544708252,5
2015-03-24,1104453.155020237,443277.01451158524,3
2015-03-25,1089722.0435090065,440640.70433855057,3
2015-03-26,1093660.3848023415,440640.70433855057,3
2015-03-27,1091220.7540040016,222396.8347697258,4
2015-03-30,1109806.9772105217,443.02851819992065,5
2015-03-31,1103891.9431538582,443.02851819992065,5
2015-04-01,1095625.6333251,4.479081630706787,5
2015-04-02,1092358.2075743675,33.60857534408569,5
2015-04-06,1101629.9343743324,86.02750539779663,5
2015-04-07,1085440.8469023705,36.966283321380615,5
2015-04-08,1084878.631350994,8.10614538192749,5
