ticker,entry_date,entry_price,exit_date,exit_price,shares,pnl_pct,pnl_dollar,holding_days,exit_reason
VTRS,2020-01-02,16.74,2020-01-13,16.84,321762,0.63,33902.08,11,下穿68
TPR,2020-01-13,24.41,2020-01-22,24.02,222001,-1.6,-86783.08,9,下穿68
SMCI,2020-01-22,2.91,2020-01-31,2.8,1832410,-3.92,-208894.89,9,下穿68
GEN,2020-02-03,15.01,2020-02-25,16.84,341406,12.22,626075.31,22,下穿68
REGN,2020-03-02,461.63,2020-03-11,461.58,12454,-0.01,-618.75,9,下穿68
EQT,2020-03-13,8.93,2020-03-19,7.57,644010,-15.22,-874698.11,6,下穿68
CRWD,2020-03-27,58.79,2020-04-30,67.66,82908,15.09,735394.19,34,下穿68
URI,2020-04-30,124.17,2020-05-04,112.82,45175,-9.14,-512932.98,4,下穿68
TECH,2020-05-04,57.66,2020-05-22,64.99,88395,12.72,648170.88,18,下穿68
VRT,2020-05-22,12.01,2020-06-11,13.47,478389,12.18,699656.96,20,下穿68
SMCI,2020-06-15,3.13,2020-06-23,3.13,2059593,-0.06,-4118.89,8,下穿68
EA,2020-06-24,127.12,2020-07-22,134.34,50662,5.68,365644.81,28,下穿68
PL=F,2020-07-22,949.3,2020-07-31,912.2,7169,-3.91,-265969.72,9,下穿68
FIX,2020-07-31,48.33,2020-08-20,50.92,135327,5.37,351301.24,20,下穿68
MOS,2020-08-20,15.83,2020-08-31,16.2,435466,2.36,162514.43,11,下穿68
AAPL,2020-08-31,125.28,2020-09-03,117.36,56304,-6.32,-446056.45,3,下穿68
KIM,2020-09-04,9.92,2020-09-08,9.6,666362,-3.16,-208777.02,4,下穿68
LUV,2020-09-08,37.52,2020-09-11,36.08,170554,-3.83,-244899.42,3,下穿68
RL,2020-09-11,68.83,2020-09-18,68.53,89414,-0.43,-26665.53,7,下穿68
PGR,2020-09-21,82.87,2020-09-22,80.37,73940,-3.02,-185028.26,1,下穿68
DPZ,2020-09-25,389.66,2020-10-08,373.75,15250,-4.08,-242619.64,13,下穿68
JBL,2020-10-08,35.63,2020-10-14,34.87,159980,-2.12,-120573.31,6,下穿68
FFIV,2020-10-14,129.11,2020-10-20,129.27,43212,0.12,6914.08,6,下穿68
HUBB,2020-10-20,134.55,2020-10-27,135.34,41518,0.59,32947.82,7,下穿68
WAT,2020-10-28,224.77,2020-11-02,222.22,24999,-1.13,-63747.53,5,下穿68
TPR,2020-11-02,20.82,2020-12-01,24.98,266874,20.02,1112007.92,29,下穿68
TKO,2020-12-01,41.59,2020-12-08,40.58,160296,-2.43,-162002.03,7,下穿68
TRGP,2020-12-08,23.66,2020-12-18,24.27,274945,2.59,168391.02,10,下穿68
AES,2020-12-18,18.53,2021-01-25,21.56,360173,16.37,1092547.25,38,下穿68
LEN,2021-01-25,77.72,2021-01-29,74.78,99929,-3.78,-293450.71,4,下穿68
ABT,2021-01-29,112.8,2021-02-04,109.29,66248,-3.12,-232787.38,6,下穿68
CL=F,2021-02-04,56.23,2021-03-01,60.64,128757,7.84,567818.35,25,下穿68
DVN,2021-03-01,17.2,2021-03-09,18.29,454033,6.38,498446.64,8,下穿68
EVRG,2021-03-09,46.35,2021-04-26,52.08,179212,12.36,1026899.72,48,下穿68
NG=F,2021-04-26,2.79,2021-05-18,3.01,3345234,7.96,742642.36,22,下穿68
CVS,2021-05-18,75.74,2021-05-26,74.63,133037,-1.46,-146684.58,8,下穿68
ANET,2021-05-26,21.15,2021-06-02,20.89,469380,-1.27,-125851.87,7,下穿68
JBL,2021-06-02,55.74,2021-06-15,55.76,175875,0.04,3461.89,13,下穿68
NTAP,2021-06-15,74.69,2021-06-17,72.86,131296,-2.45,-240706.66,2,下穿68
TYL,2021-06-17,443.26,2021-08-04,489.22,21581,10.37,991862.58,48,下穿68
SMCI,2021-08-04,3.78,2021-08-13,3.63,2793102,-3.97,-418964.9,9,下穿68
CBOE,2021-08-13,119.75,2021-08-17,117.03,84666,-2.28,-230718.6,4,下穿68
PODD,2021-08-17,302.84,2021-08-26,294.13,32717,-2.88,-284964.79,9,下穿68
GEN,2021-08-26,24.31,2021-09-10,24.81,395889,2.06,198158.95,15,下穿68
BKR,2021-09-10,21.42,2021-09-17,21.49,458470,0.34,32932.24,7,下穿68
TSLA,2021-09-17,253.16,2021-09-20,243.39,38924,-3.86,-380417.12,3,下穿68
TKO,2021-09-21,52.12,2021-11-03,57.01,181783,9.39,889404.17,43,下穿68
CIEN,2021-11-03,60.2,2021-11-22,60.37,172148,0.28,29264.84,19,下穿68
PNW,2021-11-22,56.26,2021-11-24,55.33,184737,-1.65,-171448.88,2,下穿68
NDSN,2021-11-24,255.14,2021-11-26,244.9,40060,-4.01,-410329.54,2,下穿68
DGX,2021-11-29,144.01,2021-11-30,136.64,68126,-5.12,-502123.63,1,下穿68
AAPL,2021-11-30,161.75,2021-12-03,158.37,57549,-2.09,-194844.32,3,下穿68
NVR,2021-12-06,5626.14,2021-12-17,5636.78,1619,0.19,17225.59,11,下穿68
NRG,2021-12-17,36.03,2022-01-06,36.16,253452,0.37,33826.92,20,下穿68
GL,2022-01-06,95.72,2022-01-21,97.65,95749,2.02,185168.89,15,下穿68
HAL,2022-01-24,26.21,2022-02-17,30.23,356693,15.32,1432437.17,24,下穿68
NEM,2022-02-17,59.88,2022-02-28,58.51,180054,-2.29,-246685.46,11,下穿68
HII,2022-02-28,187.49,2022-03-09,190.93,56193,1.83,193293.77,9,下穿68
TPL,2022-03-09,135.66,2022-03-31,142.64,79089,5.14,551821.24,22,下穿68
DAL,2022-03-31,38.39,2022-04-06,36.47,293844,-5.0,-564473.62,6,下穿68
TRGP,2022-04-06,69.98,2022-04-11,69.38,153137,-0.85,-91162.27,5,下穿68
DLTR,2022-04-11,165.49,2022-04-22,167.49,64205,1.21,128410.0,11,下穿68
HST,2022-04-25,17.33,2022-05-02,16.66,620658,-3.82,-411035.82,7,下穿68
VLO,2022-05-02,103.2,2022-05-11,107.45,100224,4.12,426078.93,9,下穿68
NRG,2022-05-13,38.32,2022-06-03,41.21,281003,7.54,812305.38,21,下穿68
FIX,2022-06-03,89.94,2022-06-13,85.74,128763,-4.67,-540361.15,10,下穿68
